Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_bedrooms
E02000869,Tower Hamlets 006,514
E02000870,Tower Hamlets 007,670
E02000871,Tower Hamlets 008,952
E02000872,Tower Hamlets 009,619
E02000873,Tower Hamlets 010,529
E02000874,Tower Hamlets 011,562
E02000875,Tower Hamlets 012,1011
E02000876,Tower Hamlets 013,497
E02000877,Tower Hamlets 014,1174
E02000878,Tower Hamlets 015,678
E02000879,Tower Hamlets 016,792
E02000880,Tower Hamlets 017,404
E02000881,Tower Hamlets 018,933
E02000882,Tower Hamlets 019,773
E02000883,Tower Hamlets 020,805
E02000884,Tower Hamlets 021,805
E02000885,Tower Hamlets 022,522
E02000886,Tower Hamlets 023,733
E02000887,Tower Hamlets 024,945
E02000888,Tower Hamlets 025,597
E02000889,Tower Hamlets 026,673
E02000890,Tower Hamlets 027,436
E02000893,Tower Hamlets 030,696
E02000894,Tower Hamlets 031,827
E02000895,Waltham Forest 001,1377
E02000896,Waltham Forest 002,1103
E02000897,Waltham Forest 003,1276
E02000898,Waltham Forest 004,1110
E02000899,Waltham Forest 005,1517
E02000900,Waltham Forest 006,1549
E02000901,Waltham Forest 007,1523
E02000902,Waltham Forest 008,1481
E02000903,Waltham Forest 009,1642
E02000904,Waltham Forest 010,1237
E02000905,Waltham Forest 011,1342
E02000906,Waltham Forest 012,1159
E02000907,Waltham Forest 013,941
E02000908,Waltham Forest 014,1177
E02000909,Waltham Forest 015,1098
E02000910,Waltham Forest 016,1091
E02000911,Waltham Forest 017,1104
E02000912,Waltham Forest 018,1208
E02000913,Waltham Forest 019,1085
E02000914,Waltham Forest 020,1042
E02000915,Waltham Forest 021,668
E02000916,Waltham Forest 022,931
E02000917,Waltham Forest 023,945
E02000918,Waltham Forest 024,871
E02000919,Waltham Forest 025,1084
E02000920,Waltham Forest 026,1190
E02000921,Waltham Forest 027,1255
E02000922,Waltham Forest 028,1405
E02000923,Wandsworth 001,816
E02000925,Wandsworth 003,682
E02000926,Wandsworth 004,1062
E02000927,Wandsworth 005,903
E02000928,Wandsworth 006,858
E02000929,Wandsworth 007,594
E02000930,Wandsworth 008,940
E02000931,Wandsworth 009,683
E02000932,Wandsworth 010,961
E02000933,Wandsworth 011,815
E02000934,Wandsworth 012,827
E02000935,Wandsworth 013,577
E02000936,Wandsworth 014,745
E02000937,Wandsworth 015,571
E02000938,Wandsworth 016,1198
E02000939,Wandsworth 017,435
