Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02000898,Waltham Forest 004,322
E02000899,Waltham Forest 005,228
E02000900,Waltham Forest 006,228
E02000901,Waltham Forest 007,324
E02000902,Waltham Forest 008,399
E02000903,Waltham Forest 009,795
E02000904,Waltham Forest 010,110
E02000905,Waltham Forest 011,253
E02000906,Waltham Forest 012,371
E02000907,Waltham Forest 013,1299
E02000908,Waltham Forest 014,401
E02000909,Waltham Forest 015,410
E02000910,Waltham Forest 016,286
E02000911,Waltham Forest 017,526
E02000912,Waltham Forest 018,341
E02000913,Waltham Forest 019,88
E02000914,Waltham Forest 020,517
E02000915,Waltham Forest 021,100
E02000916,Waltham Forest 022,209
E02000917,Waltham Forest 023,121
E02000918,Waltham Forest 024,559
E02000919,Waltham Forest 025,142
E02000920,Waltham Forest 026,210
E02000921,Waltham Forest 027,781
E02000922,Waltham Forest 028,375
E02000923,Wandsworth 001,327
E02000925,Wandsworth 003,1349
E02000926,Wandsworth 004,468
E02000927,Wandsworth 005,366
E02000928,Wandsworth 006,241
E02000929,Wandsworth 007,1563
E02000930,Wandsworth 008,442
E02000931,Wandsworth 009,52
E02000932,Wandsworth 010,177
E02000933,Wandsworth 011,279
E02000934,Wandsworth 012,167
E02000935,Wandsworth 013,1229
E02000936,Wandsworth 014,387
E02000937,Wandsworth 015,139
E02000938,Wandsworth 016,1123
E02000939,Wandsworth 017,122
E02000940,Wandsworth 018,672
E02000941,Wandsworth 019,211
E02000942,Wandsworth 020,155
E02000943,Wandsworth 021,210
E02000944,Wandsworth 022,848
E02000945,Wandsworth 023,967
E02000946,Wandsworth 024,426
E02000947,Wandsworth 025,135
E02000948,Wandsworth 026,173
E02000949,Wandsworth 027,81
E02000950,Wandsworth 028,477
E02000951,Wandsworth 029,101
E02000952,Wandsworth 030,137
E02000953,Wandsworth 031,236
E02000954,Wandsworth 032,163
E02000955,Wandsworth 033,507
E02000956,Wandsworth 034,416
E02000957,Wandsworth 035,219
E02000958,Wandsworth 036,292
E02000959,Wandsworth 037,288
E02000960,Westminster 001,262
E02000961,Westminster 002,585
E02000962,Westminster 003,406
