Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000942,Wandsworth 020,74
E02000943,Wandsworth 021,41
E02000944,Wandsworth 022,78
E02000945,Wandsworth 023,7
E02000946,Wandsworth 024,121
E02000947,Wandsworth 025,40
E02000948,Wandsworth 026,44
E02000949,Wandsworth 027,31
E02000950,Wandsworth 028,14
E02000951,Wandsworth 029,29
E02000952,Wandsworth 030,13
E02000953,Wandsworth 031,17
E02000954,Wandsworth 032,6
E02000955,Wandsworth 033,43
E02000956,Wandsworth 034,26
E02000957,Wandsworth 035,34
E02000958,Wandsworth 036,9
E02000959,Wandsworth 037,26
E02000960,Westminster 001,17
E02000961,Westminster 002,17
E02000962,Westminster 003,30
E02000963,Westminster 004,37
E02000964,Westminster 005,81
E02000965,Westminster 006,21
E02000966,Westminster 007,39
E02000967,Westminster 008,24
